Performance Comparison Report
========================================
[PostgreSQL] User: d8409f4d-8522-4317-8cbb-3020614facc1, Likes: 2, Bookmarks: 2, Total Duration: 29.8268s
[PostgreSQL] User: 78ecb40d-31fc-499c-98d9-2290ca4d7dfd, Likes: 20, Bookmarks: 20, Total Duration: 31.1037s
[PostgreSQL] User: 83f7301c-78cb-486a-adeb-2a3b6fe4d9f7, Likes: 17, Bookmarks: 17, Total Duration: 32.4075s
[PostgreSQL] User: 7ed207a7-f91e-4320-bf36-b4865827c58a, Likes: 2, Bookmarks: 2, Total Duration: 33.7377s
[PostgreSQL] User: afb3b3ac-68bc-4811-8f7a-cfc160b74c9e, Likes: 1, Bookmarks: 1, Total Duration: 35.0940s
[PostgreSQL] User: 506a53bc-62df-48f4-bd0b-2664140c27b4, Likes: 10, Bookmarks: 10, Total Duration: 36.4767s
[PostgreSQL] User: 4042d1dd-14c5-4a5f-bc00-99ab1592aa81, Likes: 4, Bookmarks: 4, Total Duration: 37.8861s
[PostgreSQL] User: 3e9bd1df-c851-41b1-be01-2fc47daffce9, Likes: 18, Bookmarks: 18, Total Duration: 39.3218s
[PostgreSQL] User: f2151361-69cc-43e0-a2cf-cffa1226334d, Likes: 26, Bookmarks: 26, Total Duration: 40.7843s
[PostgreSQL] User: 2484e5cd-f547-4dc1-8394-5549acb04fa9, Likes: 4, Bookmarks: 4, Total Duration: 42.2735s
[PostgreSQL] User: 2351946d-06ca-4520-96b0-06e962968f08, Likes: 26, Bookmarks: 26, Total Duration: 43.7891s
[PostgreSQL] User: fb79ffa2-de08-426f-87c9-d24f6ac457e5, Likes: 22, Bookmarks: 22, Total Duration: 45.3315s
[PostgreSQL] User: fc0e413f-5233-402b-81bd-0d218d1caa87, Likes: 4, Bookmarks: 4, Total Duration: 46.8999s
[PostgreSQL] User: ebb0c541-7da4-411d-bc5c-36cae14b0274, Likes: 24, Bookmarks: 24, Total Duration: 48.4955s
[PostgreSQL] User: acf2fe42-d0f8-47f3-be16-92beb10c10fa, Likes: 1, Bookmarks: 1, Total Duration: 50.1181s
[PostgreSQL] User: a48b528b-f3a8-49d2-a735-d66c7091e4ff, Likes: 22, Bookmarks: 22, Total Duration: 51.7676s
[PostgreSQL] User: 950bedc1-7199-4e8e-a5b4-4bc52fbe85d4, Likes: 24, Bookmarks: 24, Total Duration: 53.4444s
[PostgreSQL] User: a9e56439-3b17-43c9-9b3c-4f567cbd688e, Likes: 1, Bookmarks: 1, Total Duration: 55.1476s
[PostgreSQL] User: 43239d59-9e80-4d91-86ab-277c7167d2ef, Likes: 18, Bookmarks: 18, Total Duration: 56.8772s
[PostgreSQL] User: ea49a0b5-d3e1-4864-ad42-bbbaf60e1e83, Likes: 25, Bookmarks: 25, Total Duration: 58.6332s
[PostgreSQL] User: e47338b8-f68d-42f7-8606-388134d49da5, Likes: 24, Bookmarks: 24, Total Duration: 60.4154s
[PostgreSQL] User: 202cd5eb-948a-478c-a0ec-e2de1d921f4b, Likes: 1, Bookmarks: 1, Total Duration: 62.2240s
[PostgreSQL] User: 09c57525-2d02-4bab-a4a2-fe4d4f92eb1c, Likes: 16, Bookmarks: 16, Total Duration: 64.0585s
[PostgreSQL] User: 4306f62d-8965-4d16-9b8a-7c2d3a916556, Likes: 2, Bookmarks: 2, Total Duration: 65.9190s
[PostgreSQL] User: 81fd19c7-8f09-42fc-b889-f7fb86b6643d, Likes: 19, Bookmarks: 19, Total Duration: 67.8060s
[PostgreSQL] User: 586131d1-6c8c-4712-984e-5b659128ceac, Likes: 24, Bookmarks: 24, Total Duration: 69.7196s
[PostgreSQL] User: a3e7b176-a1bc-4454-ba3a-1abf7859800c, Likes: 20, Bookmarks: 20, Total Duration: 71.6596s
[PostgreSQL] User: 5eb82d5e-1780-400e-9043-2c04a760c145, Likes: 2, Bookmarks: 2, Total Duration: 73.6255s
[PostgreSQL] User: 74e3e767-a2ec-4037-a348-da5924021d76, Likes: 29, Bookmarks: 29, Total Duration: 75.6179s
[PostgreSQL] User: 7ab6f88d-6abd-457d-bf0e-c45cbe1ea3b3, Likes: 18, Bookmarks: 18, Total Duration: 77.6371s
[PostgreSQL] User: df7cd83e-b92e-46ca-ace0-ceb7772ecf98, Likes: 17, Bookmarks: 17, Total Duration: 79.6827s
[PostgreSQL] User: fefa794f-2fcc-4c98-a206-3044838c2356, Likes: 15, Bookmarks: 15, Total Duration: 81.7559s
[PostgreSQL] User: b31cca1c-9560-48b4-8a6c-e1d4148b0be0, Likes: 20, Bookmarks: 20, Total Duration: 83.8556s
[PostgreSQL] User: 58dc3faa-bfcf-4e63-b7d1-3746df0b23ce, Likes: 20, Bookmarks: 20, Total Duration: 85.9815s
[PostgreSQL] User: 151854c6-3989-4244-a102-861287803ce8, Likes: 1, Bookmarks: 1, Total Duration: 88.1340s
[PostgreSQL] User: 5ae20fdc-02ea-4c89-b779-5e308ac9b560, Likes: 27, Bookmarks: 27, Total Duration: 90.3130s
[PostgreSQL] User: 83d24486-dc27-454b-80b5-a97244a551e9, Likes: 20, Bookmarks: 20, Total Duration: 92.5184s
[PostgreSQL] User: 5ea96807-9dcb-403b-a64b-ef6931cb133c, Likes: 25, Bookmarks: 25, Total Duration: 94.7501s
[PostgreSQL] User: 85fe75a5-1f33-411e-a40f-c5393c908c89, Likes: 3, Bookmarks: 3, Total Duration: 97.0083s
[PostgreSQL] User: ab2aa246-e1bc-419f-94d6-38448f107396, Likes: 19, Bookmarks: 19, Total Duration: 99.2929s
[PostgreSQL] User: 931bfe52-7e86-41c0-b363-06e8da74a683, Likes: 2, Bookmarks: 2, Total Duration: 101.6045s
[PostgreSQL] User: a6ffdb97-284a-4417-9362-982ac24a167c, Likes: 20, Bookmarks: 20, Total Duration: 103.9428s
[PostgreSQL] User: 1b2e30b4-3043-410c-8c4b-0e61a170c36c, Likes: 4, Bookmarks: 4, Total Duration: 106.3071s
[PostgreSQL] User: a938895e-cd83-4932-8cf2-d072aab978ba, Likes: 20, Bookmarks: 20, Total Duration: 108.6978s
[PostgreSQL] User: 623dc8d2-78c1-4ea7-b6b0-5514f51dc6ae, Likes: 22, Bookmarks: 22, Total Duration: 111.1148s
[PostgreSQL] User: 926a5512-f7c1-4b79-be42-2e261591c402, Likes: 1, Bookmarks: 1, Total Duration: 113.5578s
[PostgreSQL] User: 6302887c-e3a3-4bca-97ac-383f47824fb3, Likes: 15, Bookmarks: 15, Total Duration: 116.0279s
[PostgreSQL] User: 11fa1e23-d327-4209-8344-82047f366e98, Likes: 22, Bookmarks: 22, Total Duration: 118.5242s
[PostgreSQL] User: 82051c6d-3b17-49ea-b39a-4c23f7bc5b4c, Likes: 20, Bookmarks: 20, Total Duration: 121.0469s
[PostgreSQL] User: 0fa85bc7-7af6-4bd9-b457-3c5e35fe396a, Likes: 19, Bookmarks: 19, Total Duration: 123.5964s
[PostgreSQL] User: b84c9384-c9d5-48a9-b008-a5f4561a98c8, Likes: 5, Bookmarks: 5, Total Duration: 126.1723s
[PostgreSQL] User: 7f46ed5f-1353-4e40-8f1e-c94dd2b1c6ac, Likes: 16, Bookmarks: 16, Total Duration: 128.7750s
[PostgreSQL] User: 9b95ba8e-e52a-4544-a0bd-8ce9d546a192, Likes: 2, Bookmarks: 2, Total Duration: 131.4042s
[PostgreSQL] User: 47d51264-498b-4c2c-abf4-34ba2d047144, Likes: 14, Bookmarks: 14, Total Duration: 134.0600s
[MongoDB] User: 8a71bac7-b75a-430e-94ec-3e03904ce969, Likes: 1, Bookmarks: 1, Total Duration: 0.1711s
[MongoDB] User: e1a65e97-f72d-467c-8c53-9c2bf6a921f5, Likes: 3, Bookmarks: 3, Total Duration: 0.4389s
[MongoDB] User: 98eaee54-b4ea-47c4-a1f8-6ab6bf4ec9ca, Likes: 2, Bookmarks: 2, Total Duration: 0.8037s
[MongoDB] User: ad5f69ce-c97b-43a1-bafc-8fac2b036ede, Likes: 3, Bookmarks: 3, Total Duration: 1.2647s
[MongoDB] User: 41584d20-2d0e-4c2e-99ae-b8b25420e296, Likes: 2, Bookmarks: 2, Total Duration: 1.8229s
[MongoDB] User: 5c5751a0-f3c8-4d50-88ad-0fcca75c6d80, Likes: 4, Bookmarks: 4, Total Duration: 2.4767s
[MongoDB] User: 98970b77-bed2-49ac-b6d8-d5c467279295, Likes: 1, Bookmarks: 1, Total Duration: 3.2274s
[MongoDB] User: 47ec637e-5094-4da0-bdf4-555e92e7d710, Likes: 1, Bookmarks: 1, Total Duration: 4.0749s
[MongoDB] User: cbdf9af7-094d-45f6-833a-626875277e45, Likes: 1, Bookmarks: 1, Total Duration: 5.0187s
[MongoDB] User: 174e75d9-3a92-45fc-aa80-a6f2256da04e, Likes: 2, Bookmarks: 2, Total Duration: 6.0592s
[MongoDB] User: 348b8f35-8775-4642-80c6-1b5b3481301a, Likes: 2, Bookmarks: 2, Total Duration: 7.1955s
[MongoDB] User: 338f30e1-a21c-4014-978c-934fd3cd238b, Likes: 2, Bookmarks: 2, Total Duration: 8.4286s
[MongoDB] User: 05ce9f53-c72f-4b1e-8abf-17e0d7b2f550, Likes: 2, Bookmarks: 2, Total Duration: 9.7577s
[MongoDB] User: 91867ed8-6054-46b8-9766-1f38cbd70662, Likes: 2, Bookmarks: 2, Total Duration: 11.1840s
[MongoDB] User: 2782f890-2879-4c6d-ad8f-835b6b0be2d9, Likes: 2, Bookmarks: 2, Total Duration: 12.7081s
[MongoDB] User: 7541bc3c-e14d-41c8-99c3-e6c5f34a37ef, Likes: 2, Bookmarks: 2, Total Duration: 14.3281s
[MongoDB] User: 72fc502a-045d-46d3-a984-781fd291159e, Likes: 2, Bookmarks: 2, Total Duration: 16.0450s
[MongoDB] User: 4204662e-a632-40bb-b960-092942144c76, Likes: 2, Bookmarks: 2, Total Duration: 17.8579s
[MongoDB] User: 818f33ac-62a0-4b9e-b789-5822ac182150, Likes: 2, Bookmarks: 2, Total Duration: 19.7679s
